"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","2","0","Сортировка товаров в каталоге","0"
"0","","0","","2","0","Валидация полей формы авторизации при незаполненном поле Username","0"
"0","","0","","6","0","Валидация полей формы авторизации различными комбинациями невалидных данных через DataProvider","0"
"0","","0","","10","0","Проверка метаданных товаров в корзине","0"
"0","","0","","2","0","Валидация обязательных полей при отправке пустой формы","0"
"0","Sauce Demo 2","0","Каталог и цены","2","0","Сортировка товаров в каталоге","0"
"0","Sauce Demo 2","0","Log in","2","0","Log in with positive credentials","0"
"0","","0","","2","0","Валидация полей формы авторизации при незаполненном поле Password","0"
"0","Sauce Demo 1","0","Log in","2","0","Log in with positive credentials","0"
"0","","0","","2","0","Валидация обязательных полей при отсутствии фамилии","0"
"0","","0","","2","0","Валидация обязательных полей при отсутствии почтового индекса","0"
"0","","0","","2","0","Покупка товаров через корзину (End-to-End)","0"
"0","Sauce Demo 2","0","Техническая проверка локаторов","2","0","Проверка локаторов элементов","0"
"0","Sauce Demo 2","0","Оформление заказа (Checkout)","2","0","Успешное заполнение формы доставки","0"
"0","","0","","2","0","Валидация полей формы авторизации при вводе несуществующего пользователя","0"
